11487,591,3881.33
11497,590,3887.22
11507,589,3893.14
11517,588,3898.83
11527,588,3904.75
11537,587,3910.63
11547,586,3916.77
11557,585,3923.08
11567,584,3928.61
11577,583,3934.45
11587,582,3940.30
11597,581,3945.77
11607,580,3951.91
11617,579,3957.81
11627,577,3963.45
11637,576,3969.27
11647,575,3974.81
11657,574,3980.55
